         437420278 function calls (437414804 primitive calls) in 151.708 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  151.708  151.708 C:\Users\prasun_agarwal\programming\Siyona\OrbitalMechanics\ringworld\LGST_Ringworld\run_simulation.py:11(run_simulation_with_params)
        1    0.005    0.005  151.708  151.708 C:\Users\prasun_agarwal\programming\Siyona\OrbitalMechanics\ringworld\LGST_Ringworld\StochasticInputRK45Solver.py:95(main)
      100    5.841    0.058  142.474    1.425 C:\Users\prasun_agarwal\programming\Siyona\OrbitalMechanics\ringworld\LGST_Ringworld\TrajectoryClassification.py:48(classify_trajectory)
  6000015   14.528    0.000  135.094    0.000 C:\Python313\Lib\site-packages\pandas\core\indexing.py:1176(__getitem__)
  6000000    3.237    0.000   83.033    0.000 C:\Python313\Lib\site-packages\pandas\core\frame.py:4191(_get_value)
  6000017    5.343    0.000   75.694    0.000 C:\Python313\Lib\site-packages\pandas\core\frame.py:3983(_ixs)
  6000017    5.310    0.000   42.225    0.000 C:\Python313\Lib\site-packages\pandas\core\frame.py:4608(_box_col_values)
  6000027    5.684    0.000   18.992    0.000 C:\Python313\Lib\site-packages\pandas\core\indexing.py:2765(check_dict_or_set_indexers)
  6000017    3.249    0.000   18.773    0.000 C:\Python313\Lib\site-packages\pandas\core\frame.py:678(_constructor_sliced_from_mgr)
  6000017   12.094    0.000   16.186    0.000 C:\Python313\Lib\site-packages\pandas\core\internals\managers.py:1012(iget)
  6000031    8.623    0.000   12.643    0.000 C:\Python313\Lib\site-packages\pandas\core\generic.py:6236(__finalize__)
12000095/12000089    5.144    0.000   11.628    0.000 {built-in method builtins.any}
  6000024    2.490    0.000   11.043    0.000 C:\Python313\Lib\site-packages\pandas\core\generic.py:339(_from_mgr)
 18000075   10.832    0.000   10.832    0.000 C:\Python313\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
  6000015    3.902    0.000    9.702    0.000 C:\Python313\Lib\site-packages\pandas\core\indexing.py:1652(_is_scalar_access)
      100    0.002    0.000    8.804    0.088 C:\Users\prasun_agarwal\programming\Siyona\OrbitalMechanics\ringworld\LGST_Ringworld\SolverSharedCodePlusSolar.py:222(compute_motion)
      100    0.058    0.001    8.800    0.088 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\ivp.py:159(solve_ivp)
  6000017    3.047    0.000    8.243    0.000 C:\Python313\Lib\site-packages\pandas\core\series.py:1471(_set_as_cached)
    15087    0.014    0.000    8.233    0.001 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\base.py:175(step)
    15087    0.131    0.000    8.218    0.001 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\rk.py:111(_step_impl)
    15155    0.343    0.000    7.953    0.001 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\rk.py:14(rk_step)
  6000135    6.214    0.000    7.685    0.000 C:\Python313\Lib\site-packages\pandas\core\generic.py:278(__init__)
    91130    0.029    0.000    7.623    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\base.py:152(fun)
    91130    0.040    0.000    7.594    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\base.py:22(fun_wrapped)
    91130    0.065    0.000    7.539    0.000 C:\Python313\Lib\site-packages\scipy\integrate\_ivp\ivp.py:592(fun)
    91130    0.578    0.000    7.474    0.000 C:\Users\prasun_agarwal\programming\Siyona\OrbitalMechanics\ringworld\LGST_Ringworld\SolverSharedCodePlusSolar.py:74(equations_of_motion_rotating)
 12000034    5.509    0.000    7.262    0.000 C:\Python313\Lib\site-packages\pandas\core\indexes\base.py:5373(__getitem__)
